sensorId,lat,lon,boxName,boxId,unit,temperatur_2018-12-23T23Z,temperatur_2018-12-24T00Z,temperatur_2018-12-24T01Z,temperatur_2018-12-24T02Z,temperatur_2018-12-24T03Z,temperatur_2018-12-24T04Z,temperatur_2018-12-24T05Z,temperatur_2018-12-24T06Z,temperatur_2018-12-24T07Z,temperatur_2018-12-24T08Z,temperatur_2018-12-24T09Z,temperatur_2018-12-24T10Z,temperatur_2018-12-24T11Z,temperatur_2018-12-24T12Z,temperatur_2018-12-24T13Z,temperatur_2018-12-24T14Z,temperatur_2018-12-24T15Z,temperatur_2018-12-24T16Z,temperatur_2018-12-24T17Z,temperatur_2018-12-24T18Z,temperatur_2018-12-24T19Z,temperatur_2018-12-24T20Z,temperatur_2018-12-24T21Z,temperatur_2018-12-24T22Z,temperatur_2018-12-24T23Z,temperatur_2018-12-25T00Z
56957f3ab3de1fe0052532e0,51.957090029248754,7.640642523765564,WG Wolbecker Str.,56957f3ab3de1fe0052532da,°C,9.56840579710145,9.15195652173913,9.078613138686132,9.346739130434782,9.414202898550725,9.313722627737226,9.418115942028987,8.846884057971014,8.485328467153284,8.012391304347826,11.144890510948905,14.996666666666666,13.398905109489052,12.754202898550725,11.960656934306568,10.523695652173913,9.905000000000001,9.18007299270073,8.878768115942028,8.851666666666667,8.784598540145986,8.619855072463768,8.766788321167883,8.702536231884059,8.435942028985508,8.242116788321168
57000b8745fd40c8196ad052,51.962372,7.64568,Oststr/Mauritzsteinpfad,57000b8745fd40c8196ad04c,°C,6.863333333333333,6.836666666666667,7.030833333333334,7.277272727272727,7.349230769230768,7.285,7.179166666666667,6.763333333333333,6.149166666666667,5.251666666666667,5.336153846153847,5.905,6.621666666666666,6.5225,6.5375000000000005,6.244166666666666,6.254615384615385,6.204166666666667,6.169999999999999,6.19,6.289166666666667,6.329166666666667,6.404615384615385,6.229166666666667,6.190833333333333,6.065
5750220bed08f9680c6b415a,51.95616769306822,7.6511693559587,BalkonBox Mindener Str.,5750220bed08f9680c6b4154,°C,7.991166666666667,7.8915,7.971666666666667,8.172,8.2105,8.097833333333334,8.074166666666667,7.364,6.930833333333334,6.878333333333333,15.185,15.174000000000001,12.127999999999998,10.326500000000001,10.130666666666666,9.228,8.889999999999999,8.193666666666667,7.909833333333333,8.120166666666666,8.0455,8.305166666666667,8.265573770491804,7.822166666666666,7.679166666666666,7.521
5837219353fb45000f9478b5,51.9477,7.5875,Westfälisches Pferdemuseum Münster,5837219353fb45000f9478b0,°C,,,,,,,,,,,,,,,,4.966666666666667,4.733333333333333,4.666666666666667,4.779999999999999,4.733333333333333,4.866666666666666,5,4.833333333333333,4.783333333333334,4.666666666666667,4.36
591f578c51d34600116a8ea6,51.96422,7.645218,Wetterstation Erpho,591f578c51d34600116a8ea5,°C,7.219803921568627,7.2115841584158416,7.245148514851485,7.377843137254902,7.396372549019607,7.258514851485149,7.094607843137255,6.444509803921569,5.995544554455445,5.638823529411765,6.966078431372549,7.9411764705882355,8.016489361702128,7.734117647058824,7.771960784313726,7.091078431372549,6.921568627450981,6.8224752475247525,6.679803921568627,6.7050495049504955,6.7069607843137256,6.898333333333333,6.86990099009901,6.789901960784314,6.712254901960784,6.555544554455445
593bcd656ccf3b0011791f5b,51.960868,7.604288,CYBER Box,593bcd656ccf3b0011791f5a,°C,7.833333333333333,7.643050847457627,7.776,7.97,8.018166666666666,7.9649152542372885,7.942833333333334,7.313389830508474,6.751525423728813,6.149661016949152,6.160740740740741,10.028500000000001,11.211833333333335,10.40813559322034,8.552999999999999,7.69728813559322,7.4155,6.956610169491525,6.782068965517242,6.866101694915255,6.829661016949152,7.084576271186441,7.033103448275862,6.760172413793103,6.706551724137931,6.681
599180be7e280a001044b839,51.929339,7.684194,C1024_balcony,599180be7e280a001044b837,°C,8.929166666666667,8.626086956521739,8.34,8.641666666666667,8.770833333333334,8.641666666666666,8.636,8.133333333333333,7.633333333333333,7.354166666666667,7.245833333333334,8.172,9.770833333333334,11.708333333333334,11.941666666666668,12.308333333333332,10.254166666666666,8.85,8.628,8.458333333333334,8.008333333333333,7.954166666666667,7.9750000000000005,8.027999999999999,7.604166666666667,7.5874999999999995
59c3b5e1d67eb50011335cf3,51.956907,7.633289,Gruenes_Zentrum,59c3b5e1d67eb50011335cee,°C,6.697166666666666,6.721500000000001,6.9885,7.341333333333334,7.477666666666667,7.40672131147541,7.317666666666667,6.679666666666667,6.0761666666666665,5.245166666666666,5.304666666666667,5.434166666666667,6.069,6.683666666666666,6.643,6.523666666666667,6.908333333333333,7.100833333333333,7.019666666666667,7.038166666666667,7.073499999999999,7.1306666666666665,7.206666666666666,7.139666666666667,6.9155,6.8815
5a0c15289fd3c200110f3d3a,51.953351,7.641463,Wetterstation Hansaring,5a0c15289fd3c200110f3d33,°C,6.7335,6.647333333333333,6.9965,7.319833333333333,7.403333333333333,7.366833333333333,7.282166666666667,6.6475,5.959333333333333,5.121666666666667,5.105,5.695666666666667,5.9195,6.357666666666666,6.517833333333333,6.328333333333333,6.352,6.218333333333334,6.1905,6.138333333333334,6.22457627118644,6.392333333333334,6.3053333333333335,6.2,6.137666666666666,6.0328333333333335
5a0c2cc89fd3c200111118f7,51.960435,7.641426,Umwelthaus Münster,5a0c2cc89fd3c200111118f0,°C,6.940166666666667,6.8661666666666665,7.042166666666666,7.296333333333333,7.362333333333334,7.3355,7.269333333333333,6.676666666666667,6.2105,5.3646666666666665,5.41728813559322,5.905689655172413,6.273728813559321,6.559649122807017,6.7219999999999995,6.411166666666667,6.486000000000001,6.4271186440677965,6.41,6.354166666666667,6.436333333333334,6.450833333333334,6.462000000000001,6.413166666666667,6.2725,6.248333333333333
